"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"258","2021-12-31",130.8828,53.79,0.39,0,0,1223.3,268.8,243.3353,3900.01,6713.1,"2021","12-31"
"259","2021-12-30",129.9121,53.39,0.19,0,0,1106.56,655.1,243.3353,3904.48,6713.1,"2021","12-30"
"260","2021-12-29",129.4796,53.21,0.08,0,0,851.28,663.3,243.3353,3900.01,6713.1,"2021","12-29"
"261","2021-12-28",129.1437,53.07,-0.09,0,0,599.21,818,243.3353,3900.01,6713.1,"2021","12-28"
"262","2021-12-27",129.3651,53.16,-0.13,0,0,490.78,803.3,243.3353,3900.01,6713.1,"2021","12-27"
"263","2021-12-26",129.6727,53.29,-0.22,0,0,383.41,930,243.3348,3900,6713.08,"2021","12-26"
"264","2021-12-25",130.2094,53.51,-0.15,0,0,494.75,869.2,243.3348,3900,6713.08,"2021","12-25"
"265","2021-12-24",130.602,53.67,-0.28,0,0,331.85,1023.1,243.3348,3900,6713.08,"2021","12-24"
"266","2021-12-23",131.3304,53.97,-0.61,0,0,87.51,1566.9,243.3348,3900,6713.08,"2021","12-23"
"267","2021-12-22",132.8052,54.58,-0.88,0,0,15.03,2161.4,243.3348,3900,6713.08,"2021","12-22"
"268","2021-12-21",134.9558,55.46,-0.93,0,0,12.47,2277.7,243.3348,3900,6713.08,"2021","12-21"
"269","2021-12-20",137.216,56.39,-0.72,0,0,7.18,1770.5,243.3348,3900,6713.08,"2021","12-20"
"270","2021-12-19",138.9555,57.1,-0.23,0,0,88.06,643.6,243.3373,3900.06,6713.2,"2021","12-19"
"271","2021-12-18",139.511,57.33,-0.2,0,0,78.39,565,243.3373,3900.06,6713.2,"2021","12-18"
"272","2021-12-17",140.0425,57.55,-0.4,0,0,105.57,1070.2,243.3373,3900.06,6713.2,"2021","12-17"
"273","2021-12-16",140.9817,57.94,-0.28,0,0,292.68,967.3,243.3373,3900.06,6713.2,"2021","12-16"
"274","2021-12-15",141.6468,58.21,-0.32,0,0,61.4,832.1,243.3373,3900.06,6713.2,"2021","12-15"
