"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"1719","2017-12-31",159.7451,65.04,0.04,0,0,277.44,183.1,245.6238,3719.24,6482.44,"2017","12-31"
"1720","2017-12-30",159.6699,65.01,-0.19,0,0,159.74,625.3,245.6238,3719.24,6482.44,"2017","12-30"
"1721","2017-12-29",160.2033,65.22,-0.44,0,0,15.41,1098.1,245.6238,3719.24,6482.44,"2017","12-29"
"1722","2017-12-28",161.3056,65.67,-0.54,0,0,10.8,1341.9,245.6238,3719.24,6482.44,"2017","12-28"
"1723","2017-12-27",162.641,66.22,-0.42,0,0,25,1066.8,245.6238,3719.24,6482.44,"2017","12-27"
"1724","2017-12-26",163.6311,66.62,-0.23,0,0,98.17,661.7,245.6238,3719.24,6482.44,"2017","12-26"
"1725","2017-12-25",164.203,66.85,-0.14,0,0,168.33,501.2,245.6238,3719.24,6482.44,"2017","12-25"
"1726","2017-12-24",164.5319,66.99,-0.06,0,0,202.59,362,245.6178,3719.17,6482.31,"2017","12-24"
"1727","2017-12-23",164.6925,67.05,-0.18,0,0,142.98,597,245.6178,3719.17,6482.31,"2017","12-23"
"1728","2017-12-22",165.2015,67.26,-0.39,0,0,53.05,1010.6,245.6178,3719.17,6482.31,"2017","12-22"
"1729","2017-12-21",166.9303,67.96,-0.68,0,0,44.06,1707.2,245.6178,3719.17,6482.31,"2017","12-21"
"1730","2017-12-20",168.6734,68.67,-0.82,0,0,43.33,2047.2,245.6178,3719.17,6482.31,"2017","12-20"
"1731","2017-12-19",170.7204,69.51,-1.04,0,0,39.48,2592,245.6178,3719.17,6482.31,"2017","12-19"
"1732","2017-12-18",173.3336,70.57,-0.9,0,0,9.91,2210,245.6178,3719.17,6482.31,"2017","12-18"
"1733","2017-12-17",175.5233,71.46,-0.63,0,0,23.91,1566.4,245.6162,3719.15,6482.27,"2017","12-17"
"1734","2017-12-16",177.0941,72.1,-0.61,0,0,27.21,1518.7,245.6162,3719.15,6482.27,"2017","12-16"
"1735","2017-12-15",178.6394,72.73,-0.77,0,0,60.45,1940.9,245.6162,3719.15,6482.27,"2017","12-15"
"1736","2017-12-14",180.6044,73.53,-0.83,0,0,28.66,2071.6,245.6162,3719.15,6482.27,"2017","12-14"
"1737","2017-12-13",182.7126,74.39,-1.03,0,0,16.88,2535,245.6162,3719.15,6482.27,"2017","12-13"
"1738","2017-12-12",185.2849,75.44,-1.04,0,0,11.27,2562.7,245.6162,3719.15,6482.27,"2017","12-12"
"1739","2017-12-11",187.8573,76.48,-0.8,0,0,10.49,1986.4,245.6162,3728.75,6482.27,"2017","12-11"
"1740","2017-12-10",189.8004,77.27,-0.66,0,0,13.82,1629.9,245.6249,3728.86,6482.46,"2017","12-10"
"1741","2017-12-09",191.4845,77.96,-0.62,0,0,11.33,1532.9,245.6249,3728.86,6482.46,"2017","12-09"
"1742","2017-12-08",193.016,78.58,-0.58,0,0,26.44,1459,245.6249,3728.86,6482.46,"2017","12-08"
"1743","2017-12-07",194.448,79.16,-0.55,0,0,28.02,1373.8,245.6249,3728.86,6482.46,"2017","12-07"
