"","month","Mean"
"222","08-09",74.805
"223","08-10",75.1333333333333
"224","08-11",75.475
"225","08-12",75.8083333333333
"226","08-13",76.155
"227","08-14",76.4833333333333
"228","08-15",76.8333333333333
"229","08-16",77.1733333333333
"230","08-17",77.5116666666667
"231","08-18",77.865
"232","08-19",78.2383333333333
"233","08-20",78.5966666666667
"234","08-21",78.93
"235","08-22",79.2366666666667
"236","08-23",79.54
"237","08-24",79.8066666666667
"238","08-25",80.1016666666667
"239","08-26",80.4133333333333
"240","08-27",80.7183333333333
"241","08-28",80.975
"242","08-29",81.1833333333333
"243","08-30",81.4166666666667
"244","08-31",81.615
"245","09-01",81.8316666666667
"246","09-02",82.0583333333333
"247","09-03",82.2833333333333
"248","09-04",82.495
"249","09-05",82.705
"250","09-06",82.8766666666667
"251","09-07",83.0316666666667
"252","09-08",83.25
"253","09-09",83.4683333333333
"254","09-10",83.6883333333333
"255","09-11",83.8633333333333
"256","09-12",84.05
"257","09-13",84.2083333333333
"258","09-14",84.3466666666667
"259","09-15",84.5016666666667
"260","09-16",84.66
"261","09-17",84.7866666666667
"262","09-18",84.9333333333333
"263","09-19",85.045
"264","09-20",85.15
"265","09-21",85.2716666666667
"266","09-22",85.395
"267","09-23",85.59
"268","09-24",85.7866666666667
"269","09-25",85.9716666666667
"270","09-26",86.1416666666667
"271","09-27",86.2983333333333
"272","09-28",86.46
"273","09-29",86.6466666666667
"274","09-30",86.8133333333333
"275","10-01",87.0566666666667
"276","10-02",87.275
"277","10-03",87.5333333333333
"278","10-04",87.7
"279","10-05",87.9333333333333
"280","10-06",88.0766666666667
"281","10-07",88.1833333333333
"282","10-08",88.305
"283","10-09",88.4416666666667
"284","10-10",88.545
"285","10-11",88.65
"286","10-12",88.815
"287","10-13",88.9816666666667
"288","10-14",89.2183333333333
"289","10-15",89.4133333333333
"290","10-16",89.57
"291","10-17",89.6966666666667
"292","10-18",89.8166666666667
"293","10-19",89.9433333333333
"294","10-20",90.0816666666667
"295","10-21",90.1783333333333
"296","10-22",90.2416666666667
"297","10-23",90.28
"298","10-24",90.3433333333333
"299","10-25",90.3766666666667
"300","10-26",90.3966666666667
"301","10-27",90.4516666666667
"302","10-28",90.4733333333333
"303","10-29",90.4766666666667
"304","10-30",90.4866666666667
"305","10-31",90.4716666666667
"306","11-01",90.5133333333333
"307","11-02",90.5116666666667
"308","11-03",90.4266666666667
"309","11-04",90.3433333333333
"310","11-05",90.255
"311","11-06",90.1683333333333
"312","11-07",90.0533333333333
"313","11-08",89.83
"314","11-09",89.6216666666667
"315","11-10",89.405
"316","11-11",89.2233333333333
"317","11-12",89.0366666666667
"318","11-13",88.8516666666667
"319","11-14",88.5983333333333
"320","11-15",88.4033333333333
"321","11-16",88.2016666666667
"322","11-17",88.045
"323","11-18",87.8983333333333
"324","11-19",87.7516666666667
"325","11-20",87.5166666666667
"326","11-21",87.2816666666667
"327","11-22",87.0666666666667
"328","11-23",86.8216666666667
"329","11-24",86.5266666666667
"330","11-25",86.175
"331","11-26",85.795
"332","11-27",85.4166666666667
"333","11-28",84.9783333333333
"334","11-29",84.4083333333333
"335","11-30",83.6716666666667
"336","12-01",83.1733333333333
"337","12-02",82.6866666666667
"338","12-03",82.2533333333333
"339","12-04",81.8233333333333
"340","12-05",81.3283333333333
"341","12-06",80.85
"342","12-07",80.4083333333333
"343","12-08",80.0533333333333
"344","12-09",79.6083333333333
"345","12-10",79.13
"346","12-11",78.6783333333333
"347","12-12",78.1933333333333
"348","12-13",77.6733333333333
"349","12-14",77.2033333333333
"350","12-15",76.8183333333333
"351","12-16",76.4233333333333
"352","12-17",76.0133333333333
"353","12-18",75.6183333333333
"354","12-19",75.205
"355","12-20",74.7366666666667
"356","12-21",74.2783333333333
"357","12-22",73.9
"358","12-23",73.6616666666667
"359","12-24",73.5233333333333
"360","12-25",73.4033333333333
"361","12-26",73.2216666666667
"362","12-27",72.9516666666667
"363","12-28",72.6266666666667
"364","12-29",72.365
"365","12-30",72.1366666666667
"366","12-31",72.0183333333333
