"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2445","2015-12-31",169.6424,79.29,-0.09,0,0,62.99,248.6,213.9611,3154.77,5837.83,"2015","12-31"
"2446","2015-12-30",164.7945,79.05,-0.1,0,0,46.65,245.4,208.4577,2872.37,5333.48,"2015","12-30"
"2447","2015-12-29",164.9941,79.15,-0.09,0,0,165.77,343.5,208.4577,2872.37,5333.48,"2015","12-29"
"2448","2015-12-28",165.1746,79.24,-0.06,0,0,167.38,285.5,208.4577,2872.37,5333.48,"2015","12-28"
"2449","2015-12-27",165.291,79.29,0.05,0,0,261.42,150,208.4577,2872.37,5333.48,"2015","12-27"
"2450","2015-12-26",165.1767,79.24,0.11,0,0,329.98,95.7,208.4577,2872.37,5333.48,"2015","12-26"
"2451","2015-12-25",164.9363,79.12,0.06,0,0,252.48,131.5,208.4577,2872.37,5333.48,"2015","12-25"
"2452","2015-12-24",164.8168,79.06,0.02,0,0,198.71,163.3,208.4577,2872.37,5333.48,"2015","12-24"
"2453","2015-12-23",164.7806,79.05,0.04,0,0,207.21,130.4,208.4577,2872.37,5333.48,"2015","12-23"
"2454","2015-12-22",164.6962,79.01,0.02,0,0,211.9,165.2,208.4577,2872.37,5333.48,"2015","12-22"
"2455","2015-12-21",164.6418,78.98,0.02,0,0,294.26,246.8,208.4577,2872.37,5333.48,"2015","12-21"
"2456","2015-12-20",164.5934,78.96,0.18,0,0,494.44,127,208.4577,2872.37,5333.48,"2015","12-20"
"2457","2015-12-19",164.2171,78.78,0.2,0,0,535.33,116,208.4577,2872.37,5333.48,"2015","12-19"
"2458","2015-12-18",163.7886,78.57,0.03,0,0,313.81,253.5,208.4577,2872.37,5333.48,"2015","12-18"
"2459","2015-12-17",163.7202,78.54,-0.03,0,0,150.58,216.4,208.4577,2872.38,5333.48,"2015","12-17"
"2460","2015-12-16",163.7749,78.57,-0.21,0,0,44.01,471.5,208.4577,2872.37,5333.48,"2015","12-16"
"2461","2015-12-15",164.2015,78.77,-0.28,0,0,55.79,643,208.4577,2872.36,5333.48,"2015","12-15"
"2462","2015-12-14",164.7711,79.04,-0.32,0,0,29.68,691.1,208.4577,2872.36,5333.48,"2015","12-14"
"2463","2015-12-13",165.439,79.36,-0.11,0,0,52.16,282.9,208.4577,2872.36,5333.48,"2015","12-13"
"2464","2015-12-12",165.6739,79.48,-0.16,0,0,13.88,348.8,208.4577,2872.35,5333.48,"2015","12-12"
"2465","2015-12-11",166.008,79.64,-0.34,0,0,20.72,738.7,208.4577,2872.34,5333.48,"2015","12-11"
"2466","2015-12-10",166.722,79.98,-0.3,0,0,14.15,631.1,208.4577,2872.34,5333.48,"2015","12-10"
"2467","2015-12-09",167.338,80.27,-0.13,0,0,57.08,335,208.4577,2872.33,5333.48,"2015","12-09"
"2468","2015-12-08",167.6151,80.41,-0.07,0,0,68.25,222.5,208.4577,2872.3,5333.48,"2015","12-08"
"2469","2015-12-07",167.7685,80.48,-0.07,0,0,81.47,222.7,208.4577,2872.26,5333.48,"2015","12-07"
"2470","2015-12-06",167.9139,80.55,-0.06,0,0,82.9,203.2,208.4577,2872.22,5333.48,"2015","12-06"
"2471","2015-12-05",168.0281,80.61,-0.09,0,0,43.5,224,208.4577,2872.18,5333.48,"2015","12-05"
"2472","2015-12-04",168.2061,80.69,-0.08,0,0,75.24,232.2,208.4577,2872.15,5333.48,"2015","12-04"
"2473","2015-12-03",168.3519,80.76,-0.11,0,0,65.26,285.6,208.4577,2872.14,5333.48,"2015","12-03"
"2474","2015-12-02",168.5701,80.87,-0.09,0,0,63.59,254,208.4577,2872.13,5333.48,"2015","12-02"
"2475","2015-12-01",168.7596,80.96,-0.16,0,0,36.62,379.8,208.4577,2872.13,5333.48,"2015","12-01"
"2476","2015-11-30",169.1094,81.12,-0.46,0,0,32.95,991.4,208.4577,2872.13,5333.48,"2015","11-30"
"2477","2015-11-29",170.0663,81.58,-0.13,0,0,20.33,295.1,208.4577,2872.15,5333.48,"2015","11-29"
"2478","2015-11-28",170.3395,81.71,-0.2,0,0,10.4,425.2,208.4577,2872.19,5333.48,"2015","11-28"
"2479","2015-11-27",170.7557,81.91,-0.26,0,0,3.94,556.2,208.4577,2872.27,5333.48,"2015","11-27"
"2480","2015-11-26",171.3086,82.18,-0.36,0,0,8.64,763,208.4577,2872.37,5333.48,"2015","11-26"
"2481","2015-11-25",172.0619,82.54,-0.4,0,0,7.42,836,208.4577,2872.37,5333.48,"2015","11-25"
"2482","2015-11-24",172.8964,82.94,-0.44,0,0,5.93,922.3,208.4577,2872.37,5333.48,"2015","11-24"
"2483","2015-11-23",173.8157,83.38,-0.37,0,0,8.03,787.6,208.4577,2872.37,5333.48,"2015","11-23"
"2484","2015-11-22",174.5947,83.76,-0.15,0,0,21.48,340.1,208.4577,2872.37,5333.48,"2015","11-22"
"2485","2015-11-21",174.91,83.91,-0.06,0,0,31.44,151,208.4577,2872.37,5333.48,"2015","11-21"
"2486","2015-11-20",175.0269,83.96,0.52,0,0,1267.82,182,208.4577,2872.37,5333.48,"2015","11-20"
"2487","2015-11-19",173.9421,83.44,0.08,0,0,218.05,53.5,208.4577,2872.37,5333.48,"2015","11-19"
"2488","2015-11-18",173.7778,83.36,0.24,0,0,511.41,1.2,208.4577,2872.37,5333.48,"2015","11-18"
