"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2810","2014-12-31",161.7386,78.82,-0.43,0,0,24.75,902.9,205.2021,2825.81,5174.94,"2014","12-31"
"2811","2014-12-30",162.6153,79.25,-0.71,0,0,8.86,1469,205.2021,2825.81,5174.94,"2014","12-30"
"2812","2014-12-29",164.0726,79.96,-0.64,0,0,25.52,1342.7,205.2021,2825.81,5174.94,"2014","12-29"
"2813","2014-12-28",165.3914,80.6,-0.44,0,0,66.06,966.5,205.2021,2825.81,5174.94,"2014","12-28"
"2814","2014-12-27",166.3026,81.04,-0.33,0,0,96.17,772.4,205.2021,2825.81,5174.94,"2014","12-27"
"2815","2014-12-26",166.9853,81.38,-0.27,0,0,97.58,651.4,205.2021,2825.81,5174.94,"2014","12-26"
"2816","2014-12-25",167.5411,81.65,-0.15,0,0,94.79,403.5,205.2021,2825.81,5174.94,"2014","12-25"
"2817","2014-12-24",167.8483,81.8,-0.06,0,0,115.28,245.1,205.2021,2825.81,5174.94,"2014","12-24"
"2818","2014-12-23",167.9811,81.86,-0.11,0,0,70.57,296.9,205.2021,2825.81,5174.94,"2014","12-23"
"2819","2014-12-22",168.2183,81.98,-0.18,0,0,55.43,434.7,205.2021,2825.81,5174.94,"2014","12-22"
"2820","2014-12-21",168.5981,82.16,-0.13,0,0,108.17,372.5,205.2021,2825.81,5174.94,"2014","12-21"
"2821","2014-12-20",168.8608,82.29,-0.12,0,0,106.34,349.1,205.2021,2825.81,5174.94,"2014","12-20"
"2822","2014-12-19",169.1035,82.41,-0.09,0,0,151.18,339.7,205.2021,2825.81,5174.94,"2014","12-19"
"2823","2014-12-18",169.2916,82.5,-0.19,0,0,34.51,430.9,205.2021,2825.81,5174.94,"2014","12-18"
"2824","2014-12-17",169.7183,82.71,-0.43,0,0,5.81,891.5,205.2021,2825.81,5174.94,"2014","12-17"
"2825","2014-12-16",170.6348,83.15,-0.48,0,0,14.89,1004.8,205.2021,2825.81,5174.94,"2014","12-16"
"2826","2014-12-15",171.6569,83.65,-0.46,0,0,8.57,943.4,205.2021,2825.81,5174.94,"2014","12-15"
"2827","2014-12-14",172.6197,84.12,-0.24,0,0,58.66,551.1,205.2021,2825.81,5174.94,"2014","12-14"
"2828","2014-12-13",173.1272,84.37,-0.24,0,0,42.17,525.2,205.2021,2825.81,5174.94,"2014","12-13"
"2829","2014-12-12",173.6241,84.61,-0.41,0,0,6.12,855.2,205.2021,2825.81,5174.94,"2014","12-12"
"2830","2014-12-11",174.4941,85.04,-0.48,0,0,6.09,999.3,205.2021,2825.81,5174.94,"2014","12-11"
"2831","2014-12-10",175.5124,85.53,-0.52,0,0,7.8,1073.5,205.2021,2825.81,5174.94,"2014","12-10"
"2832","2014-12-09",176.5988,86.06,-0.68,0,0,9.44,1402.7,205.2021,2825.81,5174.94,"2014","12-09"
"2833","2014-12-08",178.0175,86.75,-0.54,0,0,26.96,1141.1,205.2021,2825.81,5174.94,"2014","12-08"
"2834","2014-12-07",179.1504,87.3,-0.33,0,0,28.72,698.4,205.2021,2825.81,5174.94,"2014","12-07"
"2835","2014-12-06",179.8385,87.64,-0.33,0,0,53.87,721.4,205.2021,2825.81,5174.94,"2014","12-06"
"2836","2014-12-05",180.524,87.97,-0.72,0,0,25.12,1498.8,205.2021,2825.81,5174.94,"2014","12-05"
"2837","2014-12-04",182.0223,88.7,-0.93,0,0,5.84,1913.2,205.2021,2825.81,5174.94,"2014","12-04"
"2838","2014-12-03",183.9627,89.65,-0.93,0,0,4.32,1919.2,205.2021,2825.81,5174.94,"2014","12-03"
"2839","2014-12-02",185.8862,90.59,-0.92,0,0,6.53,1895.7,205.2021,2825.81,5174.94,"2014","12-02"
"2840","2014-12-01",187.8119,91.53,-0.58,0,0,0.35,1192.5,205.2021,2825.81,5174.94,"2014","12-01"
"2841","2014-11-30",188.8333,92.02,-0.36,0,0,57.94,805.3,205.2021,2825.81,5174.94,"2014","11-30"
"2842","2014-11-29",189.4978,92.35,-0.35,0,0,47.96,764.9,205.2021,2825.81,5174.94,"2014","11-29"
"2843","2014-11-28",190.2288,92.7,-0.29,0,0,99.53,696.5,205.2021,2825.81,5174.94,"2014","11-28"
"2844","2014-11-27",190.8279,93,-0.38,0,0,33.34,816.3,205.2021,2825.81,5174.94,"2014","11-27"
"2845","2014-11-26",191.6107,93.38,-0.5,0,0,14,1035,205.2021,2825.81,5174.94,"2014","11-26"
"2846","2014-11-25",192.6374,93.88,-0.5,0,0,10.29,1036.4,205.2021,2825.81,5174.94,"2014","11-25"
"2847","2014-11-24",193.676,94.38,-0.33,0,0,14.1,685.4,205.2021,2825.81,5174.94,"2014","11-24"
"2848","2014-11-23",194.3034,94.69,-0.16,0,0,83.33,407.8,205.2021,2825.81,5174.94,"2014","11-23"
"2849","2014-11-22",194.628,94.85,-0.23,0,0,76.9,546.2,205.2021,2825.81,5174.94,"2014","11-22"
"2850","2014-11-21",195.0945,95.07,-0.43,0,0,9.73,897.2,205.2021,2825.81,5174.94,"2014","11-21"
"2851","2014-11-20",195.9906,95.51,-0.42,0,0,5.39,867.4,205.2021,2825.81,5174.94,"2014","11-20"
"2852","2014-11-19",196.8637,95.94,-0.37,0,0,11.11,769.1,205.2021,2825.81,5174.94,"2014","11-19"
"2853","2014-11-18",197.6243,96.31,-0.31,0,0,8.97,648.8,205.2021,2825.81,5174.94,"2014","11-18"
"2854","2014-11-17",198.2805,96.63,-0.19,0,0,8.93,401.6,205.2021,2825.81,5174.94,"2014","11-17"
"2855","2014-11-16",198.6759,96.82,-0.02,0,0,33.42,72.8,205.2021,2825.81,5174.94,"2014","11-16"
"2856","2014-11-15",198.7022,96.83,-0.01,0,0,33.5,57,205.2021,2825.81,5174.94,"2014","11-15"
"2857","2014-11-14",198.7131,96.84,-0.11,0,0,20.5,240.6,205.2021,2825.81,5174.94,"2014","11-14"
"2858","2014-11-13",198.94,96.95,-0.08,0,0,23.93,178.4,205.2021,2825.81,5174.94,"2014","11-13"
"2859","2014-11-12",199.104,97.03,-0.09,0,0,6.08,193,205.2021,2825.81,5174.94,"2014","11-12"
"2860","2014-11-11",199.2963,97.12,-0.03,0,0,52.56,121,205.2021,2825.81,5174.94,"2014","11-11"
"2861","2014-11-10",199.3666,97.16,-0.08,0,0,9.78,176,205.2021,2825.81,5174.94,"2014","11-10"
"2862","2014-11-09",199.5428,97.24,-0.04,0,0,39.2,129.7,205.2021,2825.81,5174.94,"2014","11-09"
"2863","2014-11-08",199.6389,97.29,-0.02,0,0,54.48,92.9,205.2021,2825.81,5174.94,"2014","11-08"
"2864","2014-11-07",199.6825,97.31,-0.09,0,0,31.13,218.1,205.2021,2825.81,5174.94,"2014","11-07"
"2865","2014-11-06",199.7631,97.35,-0.12,0,0,10.02,263.6,205.2021,2825.81,5174.94,"2014","11-06"
"2866","2014-11-05",200.0181,97.47,-0.07,0,0,12.75,147.1,205.2021,2825.81,5174.94,"2014","11-05"
"2867","2014-11-04",200.1558,97.54,-0.02,0,0,61.75,105.3,205.2021,2825.81,5174.94,"2014","11-04"
"2868","2014-11-03",200.1418,97.53,-0.04,0,0,67.18,154.9,205.2021,2825.81,5174.94,"2014","11-03"
"2869","2014-11-02",200.1344,97.53,0.12,0,0,291.01,36.8,205.2021,2825.81,5174.94,"2014","11-02"
"2870","2014-11-01",199.8625,97.4,0.17,0,0,363.93,18.5,205.2021,2825.81,5174.94,"2014","11-01"
"2871","2014-10-31",199.5077,97.34,1.98,0,0,4151.15,93.6,204.9513,2817.41,5159.82,"2014","10-31"
"2872","2014-10-30",195.4397,95.36,-0.04,0,0,39.4,128.8,204.9513,2817.41,5159.82,"2014","10-30"
"2873","2014-10-29",195.5321,95.4,-0.05,0,0,56.53,168.3,204.9513,2817.41,5159.82,"2014","10-29"
"2874","2014-10-28",195.6688,95.47,0.02,0,0,146.44,109.1,204.9513,2817.41,5159.82,"2014","10-28"
"2875","2014-10-27",195.7293,95.5,0.05,0,0,127.02,19.2,204.9513,2817.41,5159.82,"2014","10-27"
"2876","2014-10-26",195.6691,95.47,0.17,0,0,352.59,3,204.9513,2817.41,5159.82,"2014","10-26"
"2877","2014-10-25",195.3931,95.34,0.15,0,0,302.55,2.3,204.9513,2818.1,5159.82,"2014","10-25"
"2878","2014-10-24",195.0921,95.19,-0.05,0,0,28.23,134.5,204.9513,2817.41,5159.82,"2014","10-24"
