"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"3175","2013-12-31",136.6847,72.86,-0.17,0,0,86.77,407.7,187.6084,2601.88,4576.36,"2013","12-31"
"3176","2013-12-30",137.0065,73.03,-0.28,0,0,72.76,603.1,187.6084,2601.93,4576.36,"2013","12-30"
"3177","2013-12-29",137.5368,73.31,-0.16,0,0,85.88,379.7,187.6084,2601.94,4576.36,"2013","12-29"
"3178","2013-12-28",137.8309,73.47,-0.12,0,0,116.63,337.9,187.6084,2601.9,4576.36,"2013","12-28"
"3179","2013-12-27",138.0539,73.59,-0.21,0,0,94.03,497.4,187.6084,2601.86,4576.36,"2013","12-27"
"3180","2013-12-26",138.4566,73.8,-0.13,0,0,132.99,370,187.6084,2601.82,4576.36,"2013","12-26"
"3181","2013-12-25",138.6915,73.93,-0.06,0,0,183.54,287.7,187.6084,2601.78,4576.36,"2013","12-25"
"3182","2013-12-24",138.795,73.98,-0.04,0,0,201.22,280.5,187.6084,2601.73,4576.36,"2013","12-24"
"3183","2013-12-23",138.8722,74.02,-0.24,0,0,85.81,540.1,187.6084,2601.69,4576.36,"2013","12-23"
"3184","2013-12-22",139.3267,74.26,-0.2,0,0,113.14,489.2,187.6084,2601.66,4576.36,"2013","12-22"
"3185","2013-12-21",139.7051,74.47,-0.27,0,0,101.46,613.6,187.6084,2601.65,4576.36,"2013","12-21"
"3186","2013-12-20",140.2171,74.74,-0.36,0,0,20.36,692.6,187.6084,2601.67,4576.36,"2013","12-20"
"3187","2013-12-19",140.8875,75.1,-0.39,0,0,22.83,763.4,187.6084,2601.71,4576.36,"2013","12-19"
"3188","2013-12-18",141.4283,75.38,-0.39,0,0,15.49,745.8,187.6084,2601.76,4576.36,"2013","12-18"
"3189","2013-12-17",142.1585,75.77,-0.37,0,0,26.06,722.6,187.6084,2601.82,4576.36,"2013","12-17"
"3190","2013-12-16",142.8576,76.15,-0.27,0,0,75.24,586.8,187.6084,2601.89,4576.36,"2013","12-16"
"3191","2013-12-15",143.3722,76.42,-0.16,0,0,79.8,383.6,187.6084,2601.96,4576.36,"2013","12-15"
"3192","2013-12-14",143.676,76.58,-0.24,0,0,87.99,531.6,187.6084,2602.02,4576.36,"2013","12-14"
"3193","2013-12-13",144.1178,76.82,-0.5,0,0,13.71,955.6,187.6084,2602.1,4576.36,"2013","12-13"
"3194","2013-12-12",145.0597,77.32,-0.42,0,0,30.53,811.2,187.6084,2602.16,4576.36,"2013","12-12"
"3195","2013-12-11",145.8414,77.74,-0.38,0,0,35.98,745,187.6084,2602.21,4576.36,"2013","12-11"
"3196","2013-12-10",146.5512,78.12,-0.33,0,0,64.67,677.6,187.6084,2602.26,4576.36,"2013","12-10"
"3197","2013-12-09",147.237,78.48,-0.38,0,0,53.48,774.6,187.6084,2602.3,4576.36,"2013","12-09"
"3198","2013-12-08",147.9577,78.87,-0.21,0,0,86.36,486.6,187.6084,2602.36,4576.36,"2013","12-08"
"3199","2013-12-07",148.358,79.08,-0.39,0,0,44.92,778.4,187.6084,2602.43,4576.36,"2013","12-07"
"3200","2013-12-06",149.0935,79.47,-0.61,0,0,21.62,1161.7,187.6084,2602.52,4576.36,"2013","12-06"
"3201","2013-12-05",150.231,80.08,-0.49,0,0,25.75,954.2,187.6084,2602.62,4576.36,"2013","12-05"
"3202","2013-12-04",151.1597,80.57,-0.69,0,0,28.12,1331,187.6084,2602.73,4576.36,"2013","12-04"
"3203","2013-12-03",152.4655,81.27,-0.65,0,0,9.83,1238.4,187.6084,2602.85,4576.36,"2013","12-03"
"3204","2013-12-02",153.6905,81.92,-0.45,0,0,27.22,862.9,187.6084,2602.95,4576.36,"2013","12-02"
"3205","2013-12-01",154.5232,82.36,-0.28,0,0,46.6,576.5,187.6084,2603.02,4576.36,"2013","12-01"
"3206","2013-11-30",155.0557,82.65,-0.23,0,0,67.29,491.7,187.6084,2603.08,4576.36,"2013","11-30"
